StepFunctions.1,Step Functions should have logging enabled,Step functions exist without logs emitted to CloudWatch and Splunk,Ensure all Step Functions instances emit logs to CloudWatch and CA Splunk
ELB.6,"Application, Gateway, and Network Load Balancers should have deletion protection enabled",Some load balancers are provisioned without deletion protection,Emplace deletion protection for all load balancers
IAM.19,MFA should be enabled for all IAM users,Some machine IAM users (not humans) do not have MFA enabled (affected accounts are either computer-computer accounts within an AWS account or to-be-deleted leftover waste),"Remove all waste IAM accounts, document compensating controls for machine-machine accounts that need credentials, plan work to remove the need for machine-machine accounts (e.g. by switching to IMDS roles or similar)"
IAM.3,IAM users' access keys should be rotated every 90 days or less,Some machine/legacy IAM accounts do not have appropriate key rotation configured.,Ensure keys are rotated for all IAM accounts deemed necessary per IAM.19
IAM.7,Password policies for IAM users should have strong configurations,Some IAM principals exist without password complexity requirements.,"Remove the availability of password login entirely for all IAM accounts (static non-MFA machine-machine principals should use key/secret only, never password)."
IAM.8,Unused IAM user credentials should be removed,"Some IAM principals are unused. See IAM.19; these are the ""waste"" accounts.",Remediation steps for IAM.19 will remove accounts triggering this control.
KMS.1,IAM customer managed policies should not allow decryption actions on all KMS keys,Incorrect IAM policies exist that allow over-broad access to KMS keys.,Update IAM policies to appropriately scope access to KMS keys.
KMS.2,IAM principals should not have IAM inline policies that allow decryption actions on all KMS keys,Incorrect IAM policies exist that allow over-broad access to KMS keys.,Update IAM policies to appropriately scope access to KMS keys.
KMS.4,AWS KMS key rotation should be enabled,Some KMS keys do not have appropriate rotation policies configured.,"Configure rotation policies for KMS keys where appropriate, document compensating controls (e.g. AWS managed keys that cannot be retrieved at all via any means) where not appropriate."
Lambda.2,Lambda functions should use supported runtimes,Lambda functions exist with language runtimes that are not first-class AWS supported.,Assess and update Lambda function runtimes where appropriate.
Lambda.5,VPC Lambda functions should operate in multiple Availability Zones,Some Lambda functions only execute in one availability zone.,"Update Lambda functions to be multi-AZ where appropriate, document compensating controls where not appropriate."
Macie.1,Macie should be enabled,Amazon Macie is not enabled in some accounts.,Enable Amazon Macie for all accounts and ship its logs to Splunk.
RDS.10,IAM authentication should be configured for RDS instances,Tenant database instances use username/password authentication instead of IAM federation,Enable IAM federation for tenant databases
RDS.11,RDS instances should have automatic backups enabled,Tenant databases do not have automatic backups configured,"Where appropriate, configure automatic database backups; where not appropriate (e.g. transient sandboxes for testing), document rationale."
RDS.12,IAM authentication should be configured for RDS clusters,See RDS.10,See RDS.10
RDS.15,RDS DB clusters should be configured for multiple Availability Zones,Tenant databases are not running replicas in multiple AZs.,"Where appropriate, configure replicas for databases in multiple AZs."
RDS.24,RDS Database Clusters should use a custom administrator username,See RDS.10,See RDS.10
RDS.25,RDS database instances should use a custom administrator username,See RDS.10,See RDS.10
RDS.26,RDS DB instances should be protected by a backup plan,See RDS.11,See RDS.11
RDS.3,RDS DB instances should have encryption at-rest enabled,Tenant databases do not encrypt their data at rest,Configure encryption for all databases
RDS.4,RDS cluster snapshots and database snapshots should be encrypted at rest,See RDS.3,See RDS.3
RDS.5,RDS DB instances should be configured with multiple Availability Zones,See RDS.15,See RDS.15
RDS.9,RDS DB instances should publish logs to CloudWatch Logs,Tenant databases do not log queries to Splunk,Configure all databases to log queries to Splunk
Route53.2,Route 53 public hosted zones should log DNS queries,DNS traffic logging is not configured,Configure DNS traffic logging for all resolvers
S3.1,S3 general purpose buckets should have block public access settings enabled,S3 buckets exist without an explicit public access block (buckets may not be internet exposed to begin with),Configure public access blocks for all buckets not intended to be public
S3.10,S3 general purpose buckets with versioning enabled should have Lifecycle configurations,S3 buckets exist without an old-version-expiration automation in place,Configure old-version-expiration automations for all S3 buckets.
S3.11,S3 general purpose buckets should have event notifications enabled,S3 buckets exist without appropriate access logging configured,Configure access logging for all S3 buckets
S3.15,S3 general purpose buckets should have Object Lock enabled,S3 buckets exist without concurrent-modification protection enabled.,Enable concurrent-modification protection for all S3 buckets.
S3.17,S3 general purpose buckets should be encrypted at rest with AWS KMS keys,S3 buckets exist whose contents are not encrypted with a pre-designated KMS key.,"Where appropriate, configure encryption for S3 buckets. Where not appropriate (e.g. internally-accessible non-sensitive data), document rationale."
S3.5,S3 general purpose buckets should require requests to use SSL,S3 buckets exist which do not require HTTPS for access,Require HTTPS access for all S3 buckets.
S3.9,S3 general purpose buckets should have server access logging enabled,See S3.11,See S3.11
SecretsManager.1,Secrets Manager secrets should have automatic rotation enabled,Secrets exist without automatic rotation policies,"Configure automatic rotation policies, or document manual rotation cadence and process, for all secrets."
SecretsManager.3,Remove unused Secrets Manager secrets,Unused secrets exist,Remove all unused secrets
SecretsManager.4,Secrets Manager secrets should be rotated within a specified number of days,See SecretsManager.1,See SecretsManager.1
SNS.1,SNS topics should be encrypted at-rest using AWS KMS,SNS topics exist whose contents are not encrypted at rest,Require all SNS topics to encrypt their contents
SSM.1,Amazon EC2 instances should be managed by AWS Systems Manager,EC2 instances exist that are not reachable via AWSSM,Provision AWSSM on all EC2 instances
